study,baseline,candidate,cohort,prompts,distinct_crates,latency_reduction_pct,prompt_ci_low_pct,prompt_ci_high_pct,crate_ci_low_pct,crate_ci_high_pct,identical_output_prompts,session0_reduction_pct,session1_reduction_pct
control,general-draft,small400,python,32,,-0.019578773080519696,-0.4018953722039864,4.1121554473859625,,,32,-0.1261424712139081,0.14061454817805297
control,general-draft,small400,reasoning,8,,-0.5149310539851903,-1.4409905307893656,0.7984408379530239,,,8,-0.4631052429607485,-0.565126101351554
control,general-draft,small400,rust_fresh,32,24,14.469419903961278,13.519150184955143,15.92599825493366,13.519150184955143,16.122684589695258,32,14.517290776315578,14.475066254537683
control,general-draft,small400,rust_seen,32,27,13.005642737813844,10.326929453481837,14.48874460679786,10.277303883317968,14.5009756421826,32,13.168359674918484,12.848093540999656
control,general-draft,small400,tool_calls,8,,-7.117277473909899,-9.221290539025029,-0.12634516362175496,,,8,-7.594996981743984,-6.655799269313379
control,general-draft,scale400,prose,8,,1.6319839167654837,-1.6112669152844594,2.829292177874454,,,8,1.785662550733691,1.61077348847537
control,general-draft,scale400,python,32,,0.145057374382479,-2.6549864892317365,3.7996487592133477,,,32,0.4705878759561244,-0.12243121814002889
control,general-draft,scale400,reasoning,8,,-1.1996153182680103,-2.500054217416059,1.1865904696230056,,,8,-0.9342898210106809,-1.4565822983813592
control,general-draft,scale400,rust_fresh,32,24,15.628862981477793,14.26016693865584,17.11259071614087,14.26016693865584,17.09377425789614,32,15.783948272768983,15.482211162023429
control,general-draft,scale400,rust_seen,32,27,14.053304471441674,12.057392527369426,15.1020656500159,11.845694841748816,15.205222656527928,32,14.126696599717087,13.958636817010877
control,general-draft,scale400,tool_calls,8,,-5.990427802383557,-13.6945024389036,-0.09813974850860774,,,8,-5.728195142392211,-6.248305142821975
control,small400,scale400,prose,8,,0.3447221595085592,0.23386910263193394,2.5862158802604007,,,8,0.45429944971157044,0.381148669828385
control,small400,scale400,python,32,,0.14149087641686098,-0.795757007454001,1.2448626416446673,,,32,0.2747610564923286,0.006012284883044616
control,small400,scale400,reasoning,8,,-0.38945808508237256,-2.33073818112679,2.1640626388542583,,,8,-0.19009253292937567,-0.5823332855289243
control,small400,scale400,rust_fresh,32,24,1.7605281205363144,0.4025311168307566,2.8401896911358193,0.48871323648616016,2.528959200156433,32,1.8726184085327835,1.64554806317333
control,small400,scale400,rust_seen,32,27,0.49784793343717326,0.3392516039957827,1.262200334594954,0.3492482488374027,1.262200334594954,32,0.6448803066400999,0.5899027520367917
control,small400,scale400,tool_calls,8,,0.3799740197597157,-5.270320980570242,1.3445100650240627,,,8,0.25066090961259335,0.45250452092623905
mixed,general-draft,mixed400,prose,8,,7.187798022841118,3.255836954064967,8.734194576831012,,,8,7.0980573708676715,7.274192094584015
mixed,general-draft,mixed400,python,32,,1.316275729541383,-0.13706697980362392,5.3878678147127825,,,32,0.9011752880915547,1.465762784329444
mixed,general-draft,mixed400,reasoning,8,,1.3933352448815994,-1.7584381219568401,3.503158581643928,,,8,1.2439573876105114,1.537180515286396
mixed,general-draft,mixed400,rust_fresh,32,24,15.052111139177205,13.67362962611724,15.628569663919578,14.291666330285913,15.522610286920052,32,15.0537437437464,15.108681421060888
mixed,general-draft,mixed400,rust_seen,32,27,13.354778664149459,11.200663976066005,15.06155904129245,11.069596819468774,15.146579887861517,32,13.485266793488805,13.39303743697875
mixed,general-draft,mixed400,tool_calls,8,,-2.393881109867335,-6.564129144907915,1.2276490643509441,,,8,-3.0488150917562407,-2.2216237459206867
mixed,general-draft,scale400,prose,8,,1.8531108335033797,-1.5276702273814058,2.9796161160287937,,,8,1.6774072126200912,2.0353285042232883
mixed,general-draft,scale400,python,32,,0.7186872239348829,-1.5581282509463223,4.027304262332409,,,32,0.11108876776549925,1.3861920491660962
mixed,general-draft,scale400,reasoning,8,,-0.9067758510611146,-2.3976281782041253,1.3349423255675896,,,8,-1.0320201050571631,-0.7859004928258972
mixed,general-draft,scale400,rust_fresh,32,24,15.705451383586395,14.603955736100838,17.32896209341952,14.603955736100838,17.083077453807917,32,15.586553732488312,15.724649522164041
mixed,general-draft,scale400,rust_seen,32,27,14.617037531663879,12.318962216718099,15.24306227122048,12.13787893484347,15.389989999365389,32,14.260834309780124,14.693638358630606
mixed,general-draft,scale400,tool_calls,8,,-5.284247814322606,-13.339156051140112,1.0073489618039666,,,8,-5.5145527787267,-5.065363072380336
mixed,scale400,mixed400,prose,8,,4.021840164436242,1.429253853684248,6.977709908037067,,,8,4.058722474726572,3.986221616053698
mixed,scale400,mixed400,python,32,,-0.025158663280200333,-0.12949430703640408,1.1965402986107598,,,32,0.12645307145674467,-0.057766661437663736
mixed,scale400,mixed400,reasoning,8,,0.5504922462971462,-0.07284484718304007,4.5580342628743775,,,8,0.6570507229541,0.4473711201433972
mixed,scale400,mixed400,rust_fresh,32,24,-1.4436068936058644,-1.7435530782612396,-0.2019411768217072,-1.824501601939743,-0.19361902820205223,32,-1.3686208653308607,-1.5000708165411547
mixed,scale400,mixed400,rust_seen,32,27,-1.1698282363994617,-1.7912616687995486,-0.11453999478985288,-1.7308913010753768,-0.11453999478985288,32,-1.054194498385208,-1.2817982560331953
mixed,scale400,mixed400,tool_calls,8,,0.04046991468444894,-0.23226097320796502,5.596211586868938,,,8,0.3223932201289803,-0.19326286031940976
